PING 10.0.2.22 (10.0.2.22) 56(84) bytes of data.
64 bytes from 10.0.2.22: icmp_seq=152 ttl=63 time=3587 ms
64 bytes from 10.0.2.22: icmp_seq=166 ttl=63 time=6486 ms
64 bytes from 10.0.2.22: icmp_seq=168 ttl=63 time=7979 ms
64 bytes from 10.0.2.22: icmp_seq=173 ttl=63 time=10043 ms
64 bytes from 10.0.2.22: icmp_seq=175 ttl=63 time=10856 ms
64 bytes from 10.0.2.22: icmp_seq=178 ttl=63 time=12074 ms
64 bytes from 10.0.2.22: icmp_seq=181 ttl=63 time=11802 ms
64 bytes from 10.0.2.22: icmp_seq=185 ttl=63 time=11426 ms
64 bytes from 10.0.2.22: icmp_seq=186 ttl=63 time=11335 ms
64 bytes from 10.0.2.22: icmp_seq=187 ttl=63 time=11244 ms
64 bytes from 10.0.2.22: icmp_seq=188 ttl=63 time=11152 ms
64 bytes from 10.0.2.22: icmp_seq=196 ttl=63 time=10424 ms
64 bytes from 10.0.2.22: icmp_seq=217 ttl=63 time=8293 ms
64 bytes from 10.0.2.22: icmp_seq=249 ttl=63 time=5022 ms
64 bytes from 10.0.2.22: icmp_seq=270 ttl=63 time=2886 ms
64 bytes from 10.0.2.22: icmp_seq=280 ttl=63 time=1872 ms
64 bytes from 10.0.2.22: icmp_seq=281 ttl=63 time=1769 ms
64 bytes from 10.0.2.22: icmp_seq=295 ttl=63 time=408 ms
64 bytes from 10.0.2.22: icmp_seq=296 ttl=63 time=391 ms
64 bytes from 10.0.2.22: icmp_seq=297 ttl=63 time=335 ms
64 bytes from 10.0.2.22: icmp_seq=298 ttl=63 time=308 ms
64 bytes from 10.0.2.22: icmp_seq=299 ttl=63 time=282 ms
64 bytes from 10.0.2.22: icmp_seq=300 ttl=63 time=270 ms
64 bytes from 10.0.2.22: icmp_seq=301 ttl=63 time=270 ms
64 bytes from 10.0.2.22: icmp_seq=302 ttl=63 time=271 ms
64 bytes from 10.0.2.22: icmp_seq=304 ttl=63 time=326 ms
64 bytes from 10.0.2.22: icmp_seq=306 ttl=63 time=347 ms
64 bytes from 10.0.2.22: icmp_seq=307 ttl=63 time=344 ms
64 bytes from 10.0.2.22: icmp_seq=308 ttl=63 time=341 ms
64 bytes from 10.0.2.22: icmp_seq=309 ttl=63 time=339 ms
64 bytes from 10.0.2.22: icmp_seq=311 ttl=63 time=338 ms
